English,Spanish
live,En Vivo
truth,verdad
school,escuela
face,cara
forget,olvidar
TRUE,CIERTO
business,negocio
each,cada
cause,causa
soon,pronto
knows,saber
few,pocos
telling,narración
wife,esposa
who's,Quién es
use,usar
chance,oportunidad
run,correr
move,Muevete
anyone,cualquiera
person,persona
bye,adiós
J.,J.
somebody,alguien
Dr. or dr.,Dr. o Dr.
heart,corazón
such,tal
miss,señorita
married,casado
point,punto
later,luego
making,haciendo
meet,reunir
anyway,de todos modos
many,muchos
phone,teléfono
reason,razón
damn,maldita sea
lost,perdió
looks,aspecto
bring,traer
case,caso
turn,giro
wish,deseo
tomorrow,mañana
kids,niños
trust,confianza
check,controlar
change,cambio
end,final
late,tarde
anymore,más
five,cinco
least,el menos
town,pueblo
aren't,no ser
ha,decir ah
working,laboral
year,año
makes,hace
taking,tomando
means,medio
brother,hermano
play,desempeñar
hate,odio
ago,atrás
says,dice
beautiful,hermoso
gave,dio
fact,hecho
crazy,loca
party,fiesta
sit,sentar
open,abierto
afraid,atemorizado
between,Entre
important,importante
rest,descansar
fun,divertida
kid,niño
word,palabra
watch,reloj
glad,contento
everyone,todo el mundo
days,días
sister,hermana
minutes,minutos
everybody,todos
bit,un poco
couple,pareja
whoa,whoa
either,o
Mrs.,Sra.
feeling,sentimiento
daughter,hija
wow,guau
gets,obtiene
asked,preguntó
under,por debajo
break,descanso
promise,promesa
door,puerta
set,establecer
close,cerca
hand,mano
easy,fácil
question,pregunta
doctor,médico
tried,intentó
far,lejos
walk,caminar
needs,necesidades
trouble,problema
mine,mía
though,aunque
times,veces
different,diferente
killed,delicado
hospital,hospital
anybody,cualquiera
Sam or SAM,Sam o Sam
alright,está bien
wedding,boda
shut,cerrado
able,poder
die,morir
perfect,Perfecto
police,policía
stand,pararse
comes,proviene
hit,pegar
story,historia
ya,ya
mm,mm
waiting,esperando
dinner,cena
against,contra
funny,gracioso
husband,esposo
almost,casi
stupid,tonto
pay,pagar
answer,responder
four,cuatro
office,oficina
cool,Frío
eyes,ojos
news,noticias
child,niño
shouldn't,no debería
half,mitad
side,lado
yours,tuya
moment,momento
sleep,dormir
read,leer
where's,donde esta
started,empezado
young,joven
men,hombres
sounds,sonidos
sonny or Sonny,Sonny o Sonny
lucky,afortunado
pick,elegir
sometimes,algunas veces
em,Em
bed,cama
also,además
date,fecha
line,línea
plan,plan
hours,horas
lose,perder
fire,fuego
free,libre
hands,manos
serious,serio
Leo,León
shit,mierda
behind,detrás
inside,en el interior
high,alto
ahead,adelante
week,semana
wonderful,maravilloso
T.,T.
fight,lucha
past,pasado
cut,Corte
quite,bastante
number,número
he'll,infierno
sick,enfermo
S.,S.
it'll,lo hará
game,juego
eat,comer
nobody,nadie
goes,va
death,muerte
along,a lo largo de
save,ahorrar
seems,parece
finally,finalmente
lives,vive
worried,preocupado
upset,decepcionado
Theresa,Hay una
Carly,Carly
Ethan,Ethan
met,reunió
book,libro
brought,trajo
seem,parecer
sort,clasificar
safe,seguro
living,vivir
children,niños
weren't,no
leaving,partida
front,frente
shot,Disparo
loved,amado
asking,pidiendo
running,correr
clear,claro
figure,figura
hot,caliente
felt,sintió
six,seis
parents,padres
drink,beber
absolutely,absolutamente
how's,como esta
daddy,papi
sweet,dulce
alive,viva
Paul,Pablo
sense,sentido
meant,quiso decir
happens,ocurrir
David,David
special,especial
bet,apuesta
blood,sangre
ain't,no
kidding,bromear
lie,mentir
full,completo
meeting,reunión
dear,Estimado
coffee,café
seeing,viendo
sound,sonido
fault,culpa
water,agua
fuck,Mierda
ten,diez
women,mujeres
John or john,John o John
welcome,bienvenidos
buy,comprar
months,meses
hour,hora
speak,hablar
lady,dama
Jen,Jen
thinks,pensamiento
Christmas,Navidad
body,cuerpo
order,ordenar
outside,fuera de
hang,colgar
possible,posible
worse,peor
company,empresa
mistake,error
ooh,Oh
handle,resolver
spend,gastar
C.,C.
totally,totalmente
giving,donación
control,control
here's,aquí es
marriage,matrimonio
realize,darse cuenta
D.,D.
power,energía
president,presidente
unless,a no ser que
sex,sexo
girls,muchachas
send,enviar
needed,necesario
O. or o,O. o o
taken,tomado
died,murió
scared,asustado
picture,imagen
talked,habló
Jake,Jake
Al,Alabama
ass,culo
hundred,ciento
changed,cambió
completely,completamente
explain,explique
playing,jugando
certainly,seguramente
sign,señal
boys,Niños
relationship,relación
Michael,Miguel
loves,ama
fucking,maldito
hair,pelo
lying,mintiendo
choice,elección
anywhere,en cualquier sitio
secret,secreto
future,futuro
weird,extraño
luck,suerte
she'll,caparazón
Max or max.,Máximo o máx.
Luis,Luis
turned,transformado
known,conocido
touch,tocar
kiss,Beso
Crane or crane,Grúa o grúa
questions,preguntas
obviously,obviamente
wonder,preguntarse
pain,dolor
calling,vocación
somewhere,en algún lugar
throw,lanzar
straight,directo
Grace or grace,Gracia o gracia
cold,frío
white or White,blanco o blanco
fast,rápido
Natalie,Natalie
words,palabras
R.,R.
food,alimento
none,ninguna
drive,conducir
feelings,sentimientos
they'll,ellos
worked,trabajó
marry,casar
light,luz
test,prueba
drop,soltar
cannot,no poder
Frank,Franco
sent,enviado
city,ciudad
dream,sueño
protect,proteger
twenty,veinte
class,clase
Lucy,Lucy
surprise,sorpresa
its,su
sweetheart,cariño
forever,Siempre
poor,pobre
looked,mirado
mad,enojado
except,excepto
gun,pistola
y'know,ya sabes
dance,baile
takes,toma
appreciate,valorar
especially,especialmente
situation,situación
besides,además
weeks,semanas
pull,jalar
himself,él mismo
hasn't,no
act,Actuar
worth,valor
Sheridan,Sheridan
amazing,increíble
top,parte superior
given,dado
expect,suponer
Ben,Ben
rather,bastante
Julian,Julian
involved,involucrado
swear,jurar
piece,pieza
busy,ocupado
law,ley
decided,decidió
black or Black,negro o negro
Joey,Joey
happening,sucediendo
movie,película
we'd,casarse
catch,captura
Antonio,Antonio
country,país
less,menos
perhaps,quizás
step,paso
fall,otoño
watching,mirando
kept,mantuvo
darling,querida
dog,perro
Ms.,Milisegundo.
win,victoria
air,aire
honor,honor
personal,personal
moving,Moviente
till,hasta
admit,admitir
problems,problemas
murder,asesinato
strong,fuerte
he'd,El
evil,demonio
definitely,definitivamente
feels,siente
information,información
honest,honesto
eye,ojo
broke,rompió
missed,omitido
longer,más extenso
dollars,dólares
tired,cansado
Jason,Jasón
George,Jorge
evening,tardecita
human,humano
starting,comenzando
Ross,Ross
red,rojo
entire,completo
trip,viaje
Brooke,Brooke
E.,MI.
club,club
Niles,Niles
suppose,suponer
calm,calma
imagine,imaginar
Todd,Todd
fair,justa
caught,capturado
B.,B.
blame,culpa
street,calle
sitting,sesión
favor,favor
apartment,Departamento
court,tribunal
terrible,horrible
clean,limpio
Tony or tony,Tony o Tony
learn,aprender
Alison,Alison
Rick,Almiar
works,obras
Rose or rose,Rosa o rosa
Frasier,Frasero
relax,relax
York,York
million,millón
charity,caridad
accident,accidente
wake,despertarse
prove,demostrar
Danny,Danny
smart,inteligente
message,mensaje
missing,perdido
forgot,olvidó
small,pequeña
interested,interesado
table,mesa
nbsp,NBSP
become,convertirse en
Craig,Craig
mouth,boca
pregnant,embarazada
middle,medio
Billy or billy,Billy o Billy
ring,anillo
careful,Cuidado
shall,deberá
dude,tipo
team,equipo
ride,conducir
figured,figurado
wear,tener puesto
shoot,disparar
stick,palo
Ray or ray,Ray o Ray
follow,seguir
Bo,Bo
angry,enfadado
instead,en cambio
buddy,amigo
write,escribe
stopped,detenido
early,temprano
Angel or angel,Ángel o ángel
Nick or nick,Nick o Nick
ran,corrió
war,guerra
standing,de pie
forgive,perdonar
jail,celda
wearing,usando
Miguel,Miguel
ladies,señoras
kinda,un tanto
lunch,comida
Cristian,Cristiano
eight,ocho
Greenlee,Greenlee
gotten,recogido
hoping,esperando
Phoebe,Phoebe
thousand,mil
ridge,cresta
music,música
Luke,Luque
paper,papel
tough,pese
tape,cinta
Emily,Emily
state,estado
count,contar
college,colega
boyfriend,novio
proud,orgulloso
agree,aceptar
birthday,cumpleaños
bill,factura
seven,Siete
they've,ellos tienen
Timmy,Timmy
history,historia
share,Cuota
offer,oferta
hurry,apuro
ow,Ay
feet,pies
wondering,preguntarse
simple,simple
decision,decisión
building,edificio
ones,unos
finish,finalizar
voice,voz
herself,sí misma
Chris,Chris
would've,lo haría
list,lista
Kay,Kay
mess,desorden
deserve,merecer
evidence,evidencia
cute,lindo
Jerry,alemán
dress,vestir
Richard,Ricardo
interesting,interesante
Jesus,Jesús
James,Jaime
hotel,hotel
enjoy,disfrutar
Ryan,Ryan
Lindsay,Lindsay
quiet,tranquilo
concerned,preocupado
road,la carretera
Eve or eve,Eva o Eva
staying,estancia
short,corto
M.,METRO.
beat,derrotar
sweetie,cariño
mention,mencion
clothes,ropa
finished,acabado
fell,cayó
neither,ninguno de los dos
mmm,mmm
fix,arreglar
Victor or victor,Victor o Victor
respect,respeto
spent,gastó
prison,prisión
attention,atención
holding,tenencia
calls,llamadas
near,cerca
surprised,sorprendido
bar,bar
Beth,Beth
pass,pasar
keeping,acuerdo
gift,regalo
hadn't,no
putting,poniendo
dark,oscuro
self,uno mismo
owe,deber
using,usando
Nora,Nora
ice,hielo
helping,Ayudar
bitch,perra
normal,normal
aunt,tía
lawyer,abogado
apart,aparte
certain,cierto
plans,planes
Jax,Jax
girlfriend,Novia
floor,piso
whether,ya sea
everything's,Todo es
present,presente
earth,tierra
private,privado
Jessica,Jessica
box,caja
Dawson,Dawson
cover,cubrir
judge,juez
upstairs,piso superior
Alexis,Alexis
Shawn,Shawn
sake,motivo
mommy,mamá
possibly,posiblemente
worst,el peor
